x,y_ref_real,y_ref_imag,y_ref_abs
14317,98.824,-33.039,104.2
14318,98.827,-33.033,104.2
14319,98.829,-33.028,104.2
14320,98.831,-33.022,104.2
14321,98.833,-33.017,104.2
14322,98.836,-33.012,104.2
14323,98.838,-33.007,104.2
14324,98.841,-33.003,104.21
14325,98.844,-32.998,104.21
14326,98.846,-32.994,104.21
14327,98.849,-32.99,104.21
14328,98.852,-32.986,104.21
14329,98.855,-32.982,104.21
14330,98.858,-32.978,104.21
14331,98.861,-32.975,104.22
14332,98.864,-32.971,104.22
14333,98.867,-32.968,104.22
14334,98.871,-32.965,104.22
14335,98.874,-32.962,104.22
14336,98.877,-32.959,104.23
14337,98.88,-32.956,104.23
14338,98.884,-32.954,104.23
14339,98.887,-32.951,104.23
14340,98.891,-32.949,104.24
14341,98.894,-32.947,104.24
14342,98.898,-32.945,104.24
14350,98.927,-32.933,104.27
14425,99.207,-33.13,104.59
14500,99.356,-33.632,104.89
14575,99.359,-34.228,105.09
14650,99.271,-34.85,105.21
14725,99.117,-35.502,105.28
14800,98.875,-36.192,105.29
14875,98.498,-36.886,105.18
14950,97.975,-37.496,104.9
15025,97.367,-37.93,104.49
15100,96.798,-38.15,104.05
15175,96.404,-38.209,103.7
15250,96.27,-38.237,103.59
15325,96.389,-38.41,103.76
15400,96.635,-38.874,104.16
15475,96.806,-39.659,104.61
15550,96.733,-40.652,104.93
15625,96.379,-41.667,105
15700,95.837,-42.573,104.87
15775,95.232,-43.357,104.64
15850,94.625,-44.087,104.39
15925,93.993,-44.821,104.13
16000,93.296,-45.56,103.83
16075,92.527,-46.28,103.46
16150,91.685,-46.983,103.02
16225,90.748,-47.663,102.5
16300,89.696,-48.28,101.86
16375,88.554,-48.787,101.1
16450,87.373,-49.179,100.26
16525,86.169,-49.486,99.368
16600,84.923,-49.723,98.409
16675,83.613,-49.87,97.356
16750,82.239,-49.897,96.192
16825,80.812,-49.773,94.91
16900,79.358,-49.471,93.515
16975,77.911,-48.973,92.024
17050,76.501,-48.272,90.458
17125,75.155,-47.364,88.835
17200,73.9,-46.227,87.167
17275,72.784,-44.83,85.483
17350,71.898,-43.148,83.851
17425,71.374,-41.194,82.409
17500,71.367,-39.061,81.357
17575,71.995,-36.931,80.915
17650,73.303,-35.067,81.258
17725,75.19,-33.777,82.428
17800,77.37,-33.32,84.24
17875,79.408,-33.757,86.286
17950,80.909,-34.867,88.102
18025,81.708,-36.261,89.392
18100,81.885,-37.59,90.101
18175,81.648,-38.661,90.339
18250,81.214,-39.428,90.279
18325,80.748,-39.954,90.092
18400,80.324,-40.363,89.895
18475,79.902,-40.773,89.704
18550,79.366,-41.214,89.429
18625,78.613,-41.595,88.939
18700,77.652,-41.757,88.168
18775,76.615,-41.584,87.173
18850,75.677,-41.082,86.109
18925,74.96,-40.364,85.137
19000,74.486,-39.577,84.348
19075,74.184,-38.838,83.736
19150,73.928,-38.185,83.207
19225,73.596,-37.551,82.622
19300,73.151,-36.792,81.883
19375,72.672,-35.765,80.996
19450,72.317,-34.407,80.085
19525,72.26,-32.761,79.34
19600,72.619,-30.953,78.94
19675,73.429,-29.142,79
19750,74.656,-27.472,79.55
19825,76.214,-26.05,80.543
19900,77.989,-24.931,81.877
19975,79.859,-24.105,83.417
20050,81.743,-23.5,85.054
20125,83.632,-23.024,86.743
20200,85.578,-22.615,88.515
20275,87.657,-22.264,90.44
20350,89.954,-22.008,92.607
20425,92.541,-21.96,95.111
20500,95.405,-22.307,97.978
20575,98.373,-23.22,101.08
20650,101.16,-24.708,104.14
20725,103.56,-26.561,106.92
20800,105.59,-28.498,109.37
20875,107.45,-30.368,111.66
20950,109.37,-32.241,114.02
21025,111.41,-34.32,116.58
21100,113.49,-36.81,119.31
21175,115.38,-39.797,122.05
21250,116.84,-43.206,124.57
21325,117.69,-46.81,126.66
21400,117.97,-50.314,128.25
21475,117.89,-53.495,129.46
21550,117.77,-56.354,130.56
21625,117.83,-59.142,131.84
21700,118.01,-62.182,133.39
21775,118.03,-65.639,135.05
21850,117.58,-69.426,136.55
21925,116.52,-73.3,137.66
22000,114.83,-76.974,138.24
22075,112.68,-80.2,138.31
22150,110.35,-82.817,137.97
22161,110.02,-83.143,137.9
22162,109.99,-83.172,137.9
22163,109.96,-83.2,137.89
22164,109.93,-83.229,137.88
22165,109.9,-83.257,137.88
22166,109.87,-83.285,137.87
22167,109.84,-83.313,137.86
22168,109.81,-83.341,137.86
22169,109.78,-83.369,137.85
22170,109.75,-83.397,137.84
22171,109.72,-83.424,137.83
22172,109.69,-83.452,137.83
22173,109.66,-83.479,137.82
22174,109.63,-83.506,137.81
22175,109.6,-83.533,137.81
22176,109.57,-83.56,137.8
22177,109.55,-83.586,137.79
22178,109.52,-83.613,137.79
22179,109.49,-83.639,137.78
22180,109.46,-83.665,137.77
22181,109.43,-83.691,137.76
22182,109.4,-83.717,137.76
22183,109.37,-83.743,137.75
22184,109.34,-83.769,137.74
22185,109.31,-83.794,137.74
22186,109.29,-83.819,137.73
22187,109.26,-83.844,137.72
22188,109.23,-83.869,137.71
22189,109.2,-83.894,137.71
22190,109.17,-83.919,137.7
22191,109.15,-83.943,137.69
22192,109.12,-83.968,137.69
22193,109.09,-83.992,137.68
22194,109.06,-84.016,137.67
22195,109.04,-84.04,137.66
22196,109.01,-84.064,137.66
22197,108.98,-84.087,137.65
22198,108.95,-84.11,137.64
22199,108.93,-84.134,137.64
22200,108.9,-84.157,137.63
22201,108.87,-84.18,137.62
22202,108.85,-84.202,137.62
22203,108.82,-84.225,137.61
22204,108.8,-84.247,137.6
22205,108.77,-84.269,137.59
22206,108.74,-84.291,137.59
22207,108.72,-84.313,137.58
22208,108.69,-84.335,137.57
22209,108.67,-84.356,137.57
22210,108.64,-84.378,137.56
22211,108.62,-84.399,137.55
22212,108.59,-84.42,137.55
22213,108.57,-84.44,137.54
22214,108.54,-84.461,137.53
22215,108.52,-84.481,137.53
22216,108.49,-84.502,137.52
22217,108.47,-84.522,137.51
22218,108.45,-84.541,137.51
22219,108.42,-84.561,137.5
22220,108.4,-84.581,137.49
22221,108.38,-84.6,137.49
22222,108.35,-84.619,137.48
22223,108.33,-84.638,137.48
22224,108.31,-84.656,137.47
22225,108.29,-84.675,137.46
22225,108.29,-84.675,137.46
22226,108.27,-84.693,137.46
22227,108.24,-84.711,137.45
22228,108.22,-84.729,137.45
22229,108.2,-84.747,137.44
22230,108.18,-84.765,137.44
22231,108.16,-84.782,137.43
22232,108.14,-84.799,137.42
22233,108.12,-84.816,137.42
22234,108.1,-84.833,137.41
22235,108.08,-84.849,137.41
22236,108.06,-84.866,137.4
22237,108.05,-84.882,137.4
22238,108.03,-84.898,137.4
22239,108.01,-84.913,137.39
22240,107.99,-84.929,137.39
22241,107.98,-84.944,137.38
22242,107.96,-84.959,137.38
22243,107.94,-84.974,137.38
22244,107.93,-84.989,137.37
22245,107.91,-85.003,137.37
22246,107.9,-85.018,137.37
22247,107.88,-85.032,137.36
22248,107.87,-85.046,137.36
22249,107.86,-85.059,137.36
22250,107.84,-85.073,137.36
22251,107.83,-85.086,137.36
22252,107.82,-85.099,137.36
22253,107.81,-85.112,137.35
22254,107.79,-85.125,137.35
22255,107.78,-85.138,137.35
22256,107.77,-85.15,137.35
22257,107.77,-85.162,137.35
22258,107.76,-85.174,137.35
22259,107.75,-85.186,137.36
22260,107.74,-85.198,137.36
22261,107.73,-85.209,137.36
22262,107.73,-85.221,137.36
22263,107.72,-85.232,137.36
22264,107.72,-85.243,137.37
22265,107.71,-85.254,137.37
22266,107.71,-85.265,137.37
22267,107.71,-85.276,137.38
22268,107.71,-85.286,137.38
22269,107.71,-85.297,137.39
22270,107.71,-85.307,137.4
22271,107.71,-85.318,137.4
22272,107.71,-85.328,137.41
22273,107.71,-85.338,137.42
22274,107.71,-85.348,137.43
22275,107.72,-85.358,137.44
22276,107.72,-85.368,137.45
22277,107.73,-85.378,137.46
22278,107.74,-85.389,137.47
22279,107.75,-85.399,137.49
22280,107.76,-85.409,137.5
22281,107.77,-85.419,137.51
22282,107.78,-85.43,137.53
22283,107.79,-85.44,137.55
22284,107.81,-85.451,137.56
22285,107.82,-85.462,137.58
22286,107.84,-85.473,137.6
22287,107.86,-85.484,137.62
22288,107.88,-85.496,137.65
22289,107.9,-85.508,137.67
22290,107.92,-85.52,137.7
22291,107.94,-85.532,137.72
22292,107.97,-85.545,137.75
22293,107.99,-85.559,137.78
22294,108.02,-85.573,137.81
22295,108.05,-85.588,137.84
22296,108.08,-85.603,137.88
22297,108.12,-85.619,137.91
22298,108.15,-85.636,137.95
22299,108.19,-85.653,137.99
22300,108.22,-85.672,138.03
22300,108.22,-85.672,138.03
22301,108.26,-85.691,138.07
22302,108.31,-85.711,138.12
22303,108.35,-85.733,138.17
22304,108.39,-85.755,138.21
22305,108.44,-85.779,138.27
22306,108.49,-85.805,138.32
22307,108.54,-85.831,138.38
22308,108.59,-85.86,138.44
22309,108.65,-85.89,138.5
22310,108.71,-85.921,138.56
22311,108.76,-85.955,138.63
22312,108.82,-85.991,138.7
22313,108.89,-86.029,138.77
22314,108.95,-86.069,138.85
22315,109.02,-86.111,138.92
22316,109.09,-86.156,139.01
22317,109.16,-86.204,139.09
22318,109.23,-86.254,139.18
22319,109.3,-86.307,139.27
22320,109.38,-86.364,139.36
22321,109.45,-86.424,139.46
22322,109.53,-86.487,139.56
22323,109.61,-86.554,139.67
22324,109.69,-86.625,139.77
22325,109.78,-86.699,139.88
22326,109.86,-86.778,140
22327,109.95,-86.861,140.12
22328,110.03,-86.948,140.24
22329,110.12,-87.04,140.36
22330,110.21,-87.137,140.49
22331,110.29,-87.239,140.62
22332,110.38,-87.345,140.76
22333,110.47,-87.457,140.9
22334,110.55,-87.574,141.04
22335,110.64,-87.697,141.18
22336,110.73,-87.825,141.33
22337,110.81,-87.959,141.48
22338,110.89,-88.098,141.63
22339,110.98,-88.244,141.78
22340,111.05,-88.395,141.94
22341,111.13,-88.551,142.1
22342,111.2,-88.714,142.26
22343,111.27,-88.882,142.42
22344,111.34,-89.056,142.58
22345,111.4,-89.236,142.74
22346,111.46,-89.421,142.9
22347,111.52,-89.611,143.06
22348,111.56,-89.806,143.22
22349,111.61,-90.007,143.38
22350,111.65,-90.212,143.54
22351,111.68,-90.421,143.69
22352,111.7,-90.634,143.85
22353,111.72,-90.851,144
22354,111.73,-91.072,144.15
