t4 e4 t1 e1 t2 e2 t3 e3 
5.9636335723 2.7064192206 5.3245943348 23.1238205875 5.3281829021 16.4100794848 5.3348802885 1.3020907325 
5.9770397046 2.6011767201 5.3756151835 23.4022589729 5.3790190288 16.9719723136 5.3838316194 1.0208018534 
6.0578346477 2.6290028983 5.4250323687 23.2980772725 5.4282193368 16.6109898078 5.4337184535 3.9879302794 
6.0699350992 2.4212053977 5.4761305430 23.5353919081 5.4792687957 17.0454708943 5.4829811604 1.2681065311 
6.0843550423 2.3618616737 5.5256960082 23.3912759611 5.5286709305 16.7777750760 5.5333232616 4.2995983529 
6.0988880993 2.4247510920 5.5763771791 23.3950682642 5.5775824770 16.6793700837 5.5801738546 3.9002782221 
6.1114145440 2.2869508767 5.6267635388 23.4713727061 5.6287215819 16.6914009412 5.6264827938 3.3708019841 
6.1777240722 2.2273953323 5.6765232702 23.4144958986 5.6783554521 16.6758715130 5.6730347350 4.7502629744 
6.1910984962 1.0483748810 5.7276045274 23.6753614108 5.7293803629 16.9745058660 5.7231051091 1.7146684194 
6.2025482994 1.9079991408 5.7768387887 23.5848080399 5.7789350149 16.8237198233 5.7750357861 3.9245477270 
6.2123478366 1.9518572373 5.8280077134 23.7467071559 5.8302125143 16.6602673962 5.8278447812 3.0741617910 
6.2246326702 1.9966526481 5.8777100859 23.6409801258 5.8807093717 16.9491920252 5.8797815752 2.9358011936 
6.2377671856 1.9723771974 5.9282755655 23.5968828165 5.9306530908 16.5708949882 5.9297743484 1.8013709801 
6.3046842664 1.8313425249 5.9786245066 23.7246673821 5.9818117915 16.6902694346 5.9801040952 1.6110202777 
6.3183120598 0.9205330075 6.0283104639 23.6733274194 6.0315404033 16.5862671715 6.0269043425 1.6424511654 
6.3312532034 1.8955920372 6.0795559941 23.9207814660 6.0827122400 16.8228672491 6.0808280936 5.2837937581 
6.3459764326 1.5701031961 6.1288438294 23.8230728488 6.1322500509 16.6192371810 6.1316174620 1.5204999336 
6.3606853137 1.7108528605 6.1798740865 23.9066838252 6.1825516438 16.6832379935 6.1805897524 4.0970016584 
6.4373176194 1.5217308411 6.2296047168 23.8473946275 6.2330811817 16.7806724171 6.2324196702 2.8828826289 
6.4493856700 1.3851615447 6.2799464416 23.7777011571 6.2827082636 16.6912009179 6.2859176252 1.0094117197 
6.4615525016 1.2507283243 6.3306180510 23.9462349561 6.3339468630 17.2062263862 6.3466540179 3.6632404036 
6.5662433321 1.4116496822 6.3802531319 23.9070700629 6.3833587004 16.8994861746 6.3971336068 1.2183961684 
6.7730525083 2.8738041255 6.4313363295 24.1142640324 6.4347193222 17.2543702042 6.4459318534 3.4037366838 
7.0377567337 3.0182028280 6.4807395653 24.0148377735 6.4846080245 17.0536299605 6.4924980759 1.6683153979 
7.1404843632 3.0056006668 6.5316669731 24.0187964251 6.5342198585 16.9899973354 6.5357994918 1.2884956246 
7.1583848935 2.7987360318 6.5816968231 24.0202770067 6.5846043849 17.1791437801 6.5845676826 1.0147803248 
7.1713668731 2.7875361180 6.6317080491 23.9487576568 6.6342054449 17.0705047212 6.6345241279 3.9573300219 
7.2418102674 1.7626313247 6.6825603573 24.1450072351 6.6854354790 17.4979619753 6.6838430631 1.2292515163 
7.2660991129 2.3196831415 6.7320079425 24.1065464638 6.7340886600 17.4305877259 6.7340711442 4.3182109151 
7.2798630051 2.2758621080 6.7832538271 24.2556779093 6.7836482158 17.0609845525 6.7809811085 3.9470178713 
7.2932927736 1.3655642023 6.8328088868 24.1684159847 6.8343771443 17.1164968813 6.8271652903 3.3501611700 
7.3059342017 2.5199194813 6.8834505886 24.1065662297 6.8843740500 17.0317983546 6.8739268168 4.7159840098 
7.3693594432 2.1882142383 6.9337270298 24.1718033397 6.9351930510 17.2385965711 6.9237764281 1.6860389940 
7.3856400581 1.9728518668 6.9834502017 24.1186549895 6.9847256916 17.2617222440 6.9757849360 3.8646875759 
7.3978980744 2.1396700286 7.0346070638 24.3165427418 7.0364155160 17.0721053152 7.0287076735 3.0769407669 
7.4075654613 1.7847621248 7.0838925673 24.2706081766 7.0862756784 17.5752057985 7.0806865901 2.9573628239 
7.4175630424 1.8095063037 7.1351281128 24.3379404747 7.1367448102 16.7873806614 7.1304732275 1.7887362373 
7.4309897391 1.8498503951 7.1847069973 24.2810263028 7.1875717654 16.9183745396 7.1808648401 1.5724527087 
7.4968934058 1.8844722106 7.2352070530 24.1904624564 7.2374224817 16.8841665403 7.2275874366 1.6217096322 
7.5112749142 2.0364286014 7.2857946276 24.3116679256 7.2885437804 17.1827418019 7.2816462431 5.2386155335 
7.5262111023 1.7887020149 7.3353352030 24.2838194748 7.3378565382 17.0218858140 7.3325302034 1.4796760562 
7.5382744707 0.9119022631 7.3864862227 24.4559426757 7.3883430242 17.1776793713 7.3814578511 4.1728547669 
7.5524678252 1.7250239028 7.4357926578 24.3967725825 7.4381947831 17.0520527562 7.4333737973 2.7797576552 
7.6310173557 0.8816949168 7.4867861779 24.3805643535 7.4882482382 17.0427812706 7.4869909179 0.9941513602 
7.6450749936 1.6707847758 7.5367290907 24.3743168347 7.5391824082 17.3110137203 7.5476235865 3.5970233750 
7.6560748102 1.3382721421 7.5869463631 24.2874643378 7.5887155169 17.1782599409 7.5979056540 1.1974100034 
7.6971819975 1.5009913330 7.6377084224 24.4501761546 7.6404948905 17.5121905438 7.6468610221 3.4126168032 
7.8471949739 2.8444763828 7.6871983230 24.4300497834 7.6897673041 17.4069157415 7.6935411809 1.7542293598 
8.1983737944 2.2283439438 7.7384589594 24.5418219062 7.7397518830 17.4732331238 7.7369155368 1.2107899429 
8.2522645158 2.9835743507 7.7878507430 24.4852778257 7.7897711030 17.3719691380 7.7858901663 0.9065951420 
8.3539189551 2.9053449950 7.8385568965 24.4032355542 7.8398217311 17.3362425646 7.8358382421 3.9222583377 
8.3674830255 2.2652968749 7.8887878425 24.4622236141 7.8905636698 17.5851008018 7.8850216704 1.2219642567 
8.3841038655 2.6519725834 7.9386547850 24.4064875687 7.9390090249 17.7365655779 7.9353707734 4.4051065852 
8.4631168720 2.3334594643 7.9896790446 24.5782380683 7.9892809011 17.3534381691 7.9821299155 3.9582879252 
8.4764862477 2.6159265544 8.0390908758 24.5534226387 8.0395114205 17.4179300426 8.0285179254 3.4987245165 
8.4895444143 2.3553198957 8.0902964970 24.5877211405 8.0898863194 17.3038254963 8.0750289201 4.5858750658 
8.5034215830 1.9976513929 8.1398899316 24.5429176501 8.1403263545 17.3899628601 8.1252612533 1.6376802016 
8.5328472963 1.4550079652 8.1902678730 24.4364704223 8.1903276162 17.4112993947 8.1771694817 3.8992475880 
8.5840545253 1.4419478326 8.2408620916 24.5553425028 8.2419758536 17.2859111962 8.2298782770 3.0452371946 
8.5967088038 2.0066991218 8.2904140595 24.5342164708 8.2915251226 17.8361099215 8.2817507091 2.8503606013 
8.6064735470 2.2639131122 8.3415663757 24.6767295039 8.3425357170 17.0622049003 8.3318967653 1.8339739224 
8.6161395625 2.0050073661 8.3909913690 24.6342867172 8.3927062560 17.0965205596 8.3822015529 1.5642824870 
8.6289202719 1.6607323974 8.4419671066 24.5881392045 8.4429219883 17.0258835972 8.4290730891 1.6122182780 
8.6698190599 0.8974472308 8.4919436737 24.5922464107 8.4938444346 17.2769927898 8.4830184777 5.2024843337 
8.7096473561 1.7407063158 8.5420183579 24.5017952711 8.5430037416 17.1992669866 8.5337921945 1.4404841039 
8.7248331804 1.6858501629 8.5929037231 24.6578455560 8.5940877959 17.4649011532 8.5828487360 4.4108195624 
8.7364324533 1.2268690744 8.6422575892 24.6499663693 8.6435630916 17.2589497387 8.6345479143 2.6588081341 
8.7506955263 1.4443403217 8.6935018586 24.7275499001 8.6941148434 17.3506297042 8.6886774585 1.0168866451 
8.8281666784 1.8326206848 8.7429566149 24.6789352684 8.7446069862 17.3823430340 8.7488839885 3.5035163716 
8.8433115606 1.5772371969 8.7937342301 24.5757913957 8.7943903165 17.3208424221 8.7992809725 1.1927395794 
8.8544259249 1.4419682733 8.8438970677 24.6443954629 8.8459946657 17.5573945052 8.8480326359 3.4457790754 
8.8701009839 1.4171868407 8.8937946724 24.5976399209 8.8950556833 17.5412279006 8.8945114142 1.8615923592 
