logalpha,pdf
5.5866,0.13361
5.5966,0.13229
5.6066,0.13098
5.6166,0.12967
5.6266,0.12837
5.6366,0.12707
5.6466,0.12578
5.6567,0.12449
5.6667,0.12321
5.6767,0.12194
5.6867,0.12067
5.6967,0.11941
5.7067,0.11815
5.7167,0.1169
5.7267,0.11566
5.7367,0.11442
5.7467,0.11319
5.7568,0.11197
5.7668,0.11075
5.7768,0.10954
5.7868,0.10834
5.7968,0.10714
5.8068,0.10595
5.8168,0.10477
5.8268,0.10359
5.8368,0.10242
5.8468,0.10126
5.8569,0.10011
5.8669,0.098964
5.8769,0.097825
5.8869,0.096693
5.8969,0.095569
5.9069,0.094452
5.9169,0.093343
5.9269,0.092241
5.9369,0.091147
5.9469,0.090061
5.957,0.088982
5.967,0.087911
5.977,0.086848
5.987,0.085793
5.997,0.084745
6.007,0.083705
6.017,0.082674
6.027,0.08165
6.037,0.080634
6.047,0.079626
6.0571,0.078626
6.0671,0.077633
6.0771,0.076649
6.0871,0.075673
6.0971,0.074705
6.1071,0.073745
6.1171,0.072793
6.1271,0.071849
6.1371,0.070913
6.1471,0.069985
6.1572,0.069066
6.1672,0.068154
6.1772,0.06725
6.1872,0.066355
6.1972,0.065467
6.2072,0.064588
6.2172,0.063716
6.2272,0.062853
6.2372,0.061997
6.2472,0.06115
6.2573,0.060311
6.2673,0.05948
6.2773,0.058656
6.2873,0.057841
6.2973,0.057034
6.3073,0.056234
6.3173,0.055443
6.3273,0.054659
6.3373,0.053884
6.3473,0.053116
6.3574,0.052356
6.3674,0.051604
6.3774,0.05086
6.3874,0.050123
6.3974,0.049394
6.4074,0.048673
6.4174,0.04796
6.4274,0.047254
6.4374,0.046556
6.4474,0.045866
6.4575,0.045183
6.4675,0.044508
6.4775,0.04384
6.4875,0.043179
6.4975,0.042526
6.5075,0.041881
6.5175,0.041243
6.5275,0.040612
6.5375,0.039988
6.5475,0.039372
6.5576,0.038763
6.5676,0.038161
6.5776,0.037566
6.5876,0.036979
6.5976,0.036398
6.6076,0.035824
6.6176,0.035258
6.6276,0.034698
6.6376,0.034145
6.6476,0.033599
6.6577,0.03306
6.6677,0.032527
6.6777,0.032001
6.6877,0.031482
6.6977,0.030969
6.7077,0.030463
6.7177,0.029964
6.7277,0.029471
6.7377,0.028984
6.7477,0.028503
6.7578,0.028029
6.7678,0.027562
6.7778,0.0271
6.7878,0.026645
6.7978,0.026195
6.8078,0.025752
6.8178,0.025315
6.8278,0.024883
6.8378,0.024458
6.8478,0.024038
6.8579,0.023625
6.8679,0.023217
6.8779,0.022814
6.8879,0.022418
6.8979,0.022027
6.9079,0.021641
6.9179,0.021261
6.9279,0.020887
6.9379,0.020517
6.9479,0.020154
6.958,0.019795
6.968,0.019442
6.978,0.019094
6.988,0.018751
6.998,0.018413
7.008,0.01808
7.018,0.017752
7.028,0.017429
7.038,0.01711
7.048,0.016797
7.0581,0.016489
7.0681,0.016185
7.0781,0.015885
7.0881,0.015591
7.0981,0.015301
7.1081,0.015015
7.1181,0.014734
7.1281,0.014458
7.1381,0.014185
7.1481,0.013917
7.1582,0.013653
7.1682,0.013394
7.1782,0.013139
7.1882,0.012887
7.1982,0.01264
7.2082,0.012397
7.2182,0.012158
7.2282,0.011922
7.2382,0.011691
7.2482,0.011463
7.2583,0.011239
7.2683,0.011019
7.2783,0.010803
7.2883,0.01059
7.2983,0.010381
7.3083,0.010175
7.3183,0.0099727
7.3283,0.0097739
7.3383,0.0095785
7.3483,0.0093864
7.3584,0.0091977
7.3684,0.0090122
7.3784,0.0088299
7.3884,0.0086508
7.3984,0.0084749
7.4084,0.008302
7.4184,0.0081322
7.4284,0.0079654
7.4384,0.0078015
7.4484,0.0076406
7.4585,0.0074825
7.4685,0.0073273
7.4785,0.0071749
7.4885,0.0070252
7.4985,0.0068783
7.5085,0.006734
7.5185,0.0065924
7.5285,0.0064533
7.5385,0.0063169
7.5485,0.0061829
7.5586,0.0060514
7.5686,0.0059224
7.5786,0.0057958
7.5886,0.0056715
7.5986,0.0055496
7.6086,0.00543
7.6186,0.0053127
7.6286,0.0051975
7.6386,0.0050846
7.6486,0.0049739
7.6587,0.0048652
7.6687,0.0047587
7.6787,0.0046542
7.6887,0.0045517
7.6987,0.0044512
7.7087,0.0043527
7.7187,0.0042562
7.7287,0.0041615
7.7387,0.0040687
7.7487,0.0039777
7.7588,0.0038885
7.7688,0.0038011
7.7788,0.0037154
7.7888,0.0036315
7.7988,0.0035493
7.8088,0.0034687
7.8188,0.0033897
7.8288,0.0033123
7.8388,0.0032365
7.8488,0.0031623
7.8589,0.0030896
7.8689,0.0030184
7.8789,0.0029486
7.8889,0.0028803
7.8989,0.0028134
7.9089,0.0027479
7.9189,0.0026837
7.9289,0.0026209
7.9389,0.0025595
7.9489,0.0024993
7.959,0.0024404
7.969,0.0023827
7.979,0.0023263
7.989,0.002271
7.999,0.002217
8.009,0.0021641
8.019,0.0021123
8.029,0.0020617
8.039,0.0020121
8.049,0.0019636
8.0591,0.0019162
8.0691,0.0018698
8.0791,0.0018245
8.0891,0.0017801
8.0991,0.0017367
8.1091,0.0016943
8.1191,0.0016528
8.1291,0.0016122
8.1391,0.0015725
8.1491,0.0015337
8.1592,0.0014958
8.1692,0.0014587
8.1792,0.0014225
8.1892,0.0013871
8.1992,0.0013525
8.2092,0.0013186
8.2192,0.0012856
8.2292,0.0012533
8.2392,0.0012217
8.2492,0.0011909
8.2593,0.0011607
8.2693,0.0011313
8.2793,0.0011026
8.2893,0.0010745
8.2993,0.001047
8.3093,0.0010202
8.3193,0.00099408
8.3293,0.00096853
8.3393,0.00094358
8.3493,0.00091922
8.3594,0.00089543
8.3694,0.00087221
8.3794,0.00084954
8.3894,0.00082742
8.3994,0.00080582
8.4094,0.00078473
8.4194,0.00076416
8.4294,0.00074408
8.4394,0.00072448
8.4494,0.00070536
8.4595,0.0006867
8.4695,0.0006685
8.4795,0.00065074
8.4895,0.00063342
8.4995,0.00061652
8.5095,0.00060003
8.5195,0.00058396
8.5295,0.00056828
8.5395,0.00055298
8.5495,0.00053807
8.5596,0.00052353
8.5696,0.00050935
8.5796,0.00049553
8.5896,0.00048205
8.5996,0.00046891
8.6096,0.00045611
8.6196,0.00044362
8.6296,0.00043146
8.6396,0.0004196
8.6496,0.00040804
8.6597,0.00039678
8.6697,0.00038581
8.6797,0.00037512
8.6897,0.0003647
8.6997,0.00035455
8.7097,0.00034466
8.7197,0.00033503
8.7297,0.00032565
8.7397,0.00031651
8.7497,0.00030762
8.7598,0.00029895
8.7698,0.00029051
8.7798,0.00028229
8.7898,0.00027429
8.7998,0.0002665
8.8098,0.00025892
8.8198,0.00025153
8.8298,0.00024434
8.8398,0.00023735
8.8498,0.00023054
8.8599,0.00022391
8.8699,0.00021746
8.8799,0.00021119
8.8899,0.00020508
8.8999,0.00019914
8.9099,0.00019336
8.9199,0.00018773
8.9299,0.00018226
8.9399,0.00017694
8.9499,0.00017176
8.96,0.00016672
8.97,0.00016183
8.98,0.00015706
8.99,0.00015243
9,0.00014793
