ref_real,ref_imag,ref_abs,opt_real,opt_imag,opt_abs,loo_real,loo_imag,loo_abs,x
1.0544e-10,-8.8675e-10,89300,1.3597e-10,-8.6901e-10,8.7958e-10,1.3474e-10,-8.8377e-10,8.9398e-10,4885
-2.6632e-10,-6.9755e-10,74667,-2.3034e-10,-6.9016e-10,7.2759e-10,-2.3776e-10,-7.0214e-10,7.413e-10,4887.5
-5.4643e-10,-4.5143e-10,70878,-5.1219e-10,-4.5534e-10,6.8533e-10,-5.2255e-10,-4.6144e-10,6.9713e-10,4890
-7.2903e-10,-1.8196e-10,75139,-7.027e-10,-1.9382e-10,7.2894e-10,-7.1183e-10,-1.9416e-10,7.3783e-10,4892.5
-8.2065e-10,7.9381e-11,82448,-8.0522e-10,6.5632e-11,8.0789e-10,-8.1049e-10,6.8329e-11,8.1337e-10,4895
-8.3751e-10,3.077e-10,89225,-8.3198e-10,2.9853e-10,8.8392e-10,-8.3352e-10,3.0088e-10,8.8616e-10,4897.5
-8.0153e-10,4.8726e-10,93801,-8.0153e-10,4.8726e-10,9.3801e-10,-8.0153e-10,4.8726e-10,9.3801e-10,4900
-7.3586e-10,6.1202e-10,95711,-7.3535e-10,6.2241e-10,9.634e-10,-7.3647e-10,6.2026e-10,9.6287e-10,4902.5
-6.6119e-10,6.8411e-10,95141,-6.5469e-10,7.0248e-10,9.6025e-10,-6.5844e-10,7.0007e-10,9.6107e-10,4905
-5.9334e-10,7.1113e-10,92616,-5.7785e-10,7.3252e-10,9.33e-10,-5.8393e-10,7.3211e-10,9.3646e-10,4907.5
-5.4277e-10,7.0318e-10,88829,-5.1864e-10,7.2196e-10,8.8894e-10,-5.253e-10,7.2486e-10,8.9519e-10,4910
-5.1529e-10,6.7045e-10,84559,-4.8587e-10,6.8235e-10,8.3766e-10,-4.9099e-10,6.8832e-10,8.4549e-10,4912.5
-5.1351e-10,6.2197e-10,80657,-4.8382e-10,6.2532e-10,7.9064e-10,-4.8598e-10,6.3277e-10,7.9786e-10,4915
-5.3827e-10,5.6525e-10,78054,-5.1329e-10,5.6132e-10,7.6062e-10,-5.1246e-10,5.6814e-10,7.6512e-10,4917.5
-5.8968e-10,5.0656e-10,77738,-5.729e-10,4.9903e-10,7.5977e-10,-5.7038e-10,5.0359e-10,7.6088e-10,4920
-6.6766e-10,4.5158e-10,80604,-6.6013e-10,4.4541e-10,7.9634e-10,-6.5794e-10,4.4725e-10,7.9556e-10,4922.5
-7.7201e-10,4.0619e-10,87235,-7.7201e-10,4.0619e-10,8.7235e-10,-7.7201e-10,4.0619e-10,8.7235e-10,4925
-9.019e-10,3.7688e-10,97747,-9.0535e-10,3.8636e-10,9.8434e-10,-9.0845e-10,3.8635e-10,9.8719e-10,4927.5
-1.0551e-09,3.7098e-10,1.1184e+05,-1.0565e-09,3.9063e-10,1.1264e-09,-1.0623e-09,3.9259e-10,1.1325e-09,4930
-1.2269e-09,3.961e-10,1.2893e+05,-1.2212e-09,4.2341e-10,1.2925e-09,-1.2282e-09,4.2869e-10,1.3008e-09,4932.5
-1.4099e-09,4.5892e-10,1.4827e+05,-1.3939e-09,4.8865e-10,1.477e-09,-1.4e-09,4.9742e-10,1.4857e-09,4935
