tgradvar,ygradvar,tadaptive,yadaptive,tdeltaone,ydeltaone,tdomke,ydomke
6701.0,6.225866322775872e7,6701.0,1.2683757825274003e8,6701.0,2.0124093869110832e8,6701.0,4.047815919895446e8
6801.0,6.180984788267813e7,6801.0,1.2624936281460802e8,6801.0,2.0107287569683075e8,6801.0,4.0448180394569814e8
6901.0,6.044028953586054e7,6901.0,1.260183464048334e8,6901.0,2.0100687044257006e8,6901.0,4.0436406484350336e8
7001.0,6.063129526976659e7,7001.0,1.2519954485750943e8,7001.0,2.0077292513810924e8,7001.0,4.0394675700311375e8
7101.0,6.025618321319082e7,7101.0,1.2663556448283078e8,7101.0,2.0118321997640735e8,7101.0,4.0467863428224015e8
7201.0,6.24540381177226e7,7201.0,1.2662733051536793e8,7201.0,2.0118086739411032e8,7201.0,4.046744377840887e8
7301.0,6.082240024878773e7,7301.0,1.259159401856711e8,7301.0,2.0097761127201903e8,7301.0,4.043118728095474e8
7401.0,6.033316143828882e7,7401.0,1.254464119518808e8,7401.0,2.008434591982155e8,7401.0,4.040725745157358e8
7501.0,6.1648727953009084e7,7501.0,1.2503036579398254e8,7501.0,2.0072458784850034e8,7501.0,4.0386053372975737e8
7601.0,6.288851829457411e7,7601.0,1.2624084834428972e8,7601.0,2.010704429701738e8,7601.0,4.0447746448733705e8
7701.0,6.0325034052393235e7,7701.0,1.2564611534937324e8,7701.0,2.0090051780085364e8,7701.0,4.04174354725847e8
7801.0,6.3304077057088464e7,7801.0,1.2710175292493093e8,7801.0,2.0131641781583458e8,7801.0,4.049162304282455e8
7901.0,6.083906346484981e7,7901.0,1.2737483256951585e8,7901.0,2.013944412401958e8,7901.0,4.050554073473763e8
8001.0,6.216901483737604e7,8001.0,1.2626112821067576e8,8001.0,2.010762372673776e8,8001.0,4.044878002607276e8
8101.0,6.130229555242893e7,8101.0,1.2503730732099307e8,8101.0,2.0072657115893155e8,8101.0,4.0386407152674276e8
8201.0,6.1942965453264855e7,8201.0,1.2512059548768197e8,8201.0,2.0075036798195627e8,8201.0,4.039065199137598e8
8301.0,5.974987412242586e7,8301.0,1.2495133355122271e8,8301.0,2.0070200701416376e8,8301.0,4.038202544036434e8
8401.0,6.0875164473381236e7,8401.0,1.2430287989875327e8,8401.0,2.0051673295398214e8,8401.0,4.034897655395357e8
8501.0,6.239565541823833e7,8501.0,1.2476469712698814e8,8501.0,2.0064868186445716e8,8501.0,4.03725133866329e8
8601.0,6.0217483705833934e7,8601.0,1.2550142965356222e8,8601.0,2.008591786762901e8,8601.0,4.0410061466581476e8
8701.0,6.073231674616499e7,8701.0,1.2618372765010561e8,8701.0,2.0105412263194826e8,8701.0,4.044483525326645e8
8801.0,6.006308718769491e7,8801.0,1.265154265227854e8,8801.0,2.0114889455075082e8,8801.0,4.046174051445825e8
8901.0,6.0392338147126056e7,8901.0,1.263854978263261e8,8901.0,2.0111177174785587e8,8901.0,4.0455118609076995e8
9001.0,6.016637958085965e7,9001.0,1.260381521462297e8,9001.0,2.0101252927432993e8,9001.0,4.0437415897583175e8
9101.0,6.036947866684038e7,9101.0,1.261920254801879e8,9101.0,2.010564934608644e8,9101.0,4.044525815788392e8
9201.0,6.13357431069713e7,9201.0,1.2562949835001701e8,9201.0,2.0089577004605722e8,9201.0,4.041658857578318e8
9301.0,6.005848432167505e7,9301.0,1.255458219402771e8,9301.0,2.0087186229549572e8,9301.0,4.0412323950007343e8
9401.0,6.0969721304761425e7,9401.0,1.2602645537521939e8,9401.0,2.0100918731111044e8,9401.0,4.0436819763603485e8
9501.0,6.18990599377885e7,9501.0,1.2566395134060384e8,9501.0,2.00905613842028e8,9501.0,4.0418344496145535e8
9601.0,6.045614753839321e7,9601.0,1.2542715499108255e8,9601.0,2.0083795716225618e8,9601.0,4.040627600732137e8
9701.0,6.129024618735309e7,9701.0,1.2517347358801389e8,9701.0,2.0076547614011973e8,9701.0,4.0393346960129464e8
9801.0,6.313891560668077e7,9801.0,1.2557577362531953e8,9801.0,2.008804199931445e8,9801.0,4.041385045823659e8
9901.0,6.287507852599173e7,9901.0,1.2579354674751285e8,9901.0,2.0094264141852093e8,9901.0,4.042494941519562e8
