tgradvar,ygradvar,tadaptive,yadaptive,tdeltaone,ydeltaone,tdomke,ydomke
571.0,1.1361500093006484e8,571.0,1.8009373727559357e9,571.0,2.959329459810033e8,571.0,5.736916590471951e8
581.0,1.0984568302671723e8,581.0,1.796196514180971e9,581.0,2.8698792473865545e8,581.0,5.577356752094935e8
591.0,1.0319332908265649e8,591.0,1.7897731028807392e9,591.0,2.748682739158429e8,591.0,5.361168386066387e8
601.0,1.0414135883417329e8,601.0,1.7845398720528355e9,601.0,2.6499424789682057e8,601.0,5.185037111132475e8
611.0,9.97581123307072e7,611.0,1.7810998466107268e9,611.0,2.585036301812085e8,611.0,5.0692585248539895e8
621.0,9.307882824092065e7,621.0,1.7771487615205228e9,621.0,2.5104874843281946e8,621.0,4.9362795531259686e8
631.0,8.969089966620678e7,631.0,1.7747502507195034e9,631.0,2.4652325379384905e8,631.0,4.85555451362001e8
641.0,9.19162466153131e7,641.0,1.7727909182517695e9,641.0,2.4282639798860475e8,641.0,4.789610599256193e8
651.0,9.049579707632314e7,651.0,1.7708190199060316e9,651.0,2.3910583296615872e8,651.0,4.7232437637206686e8
661.0,8.999922866843683e7,661.0,1.7696378492514412e9,661.0,2.3687720782809997e8,661.0,4.683489909906648e8
671.0,9.064590597877583e7,671.0,1.7691903515440485e9,671.0,2.3603287205321157e8,671.0,4.6684287852735037e8
681.0,8.812742839252943e7,681.0,1.7683377323457015e9,681.0,2.3442415567404705e8,681.0,4.6397327633748937e8
691.0,8.93290305104278e7,691.0,1.7686298855881855e9,691.0,2.349753885190515e8,691.0,4.649565565474973e8
701.0,8.654500443359166e7,701.0,1.766759363049553e9,701.0,2.314460987126192e8,701.0,4.586610666225099e8
711.0,8.654424320943257e7,711.0,1.7666743458439386e9,711.0,2.3128568879990846e8,711.0,4.583749300214583e8
721.0,8.18850343430409e7,721.0,1.7652634830087862e9,721.0,2.2862368194378316e8,721.0,4.5362648535918075e8
731.0,8.649685247133414e7,731.0,1.7645274610876133e9,731.0,2.2723496055173543e8,731.0,4.511493066598524e8
741.0,8.447305868257053e7,741.0,1.764095552954552e9,741.0,2.2642003908468747e8,741.0,4.496956629618749e8
751.0,8.082283624447733e7,751.0,1.7624048136147623e9,751.0,2.2322996305298418e8,751.0,4.4400525706748533e8
761.0,8.222198036283347e7,761.0,1.7626099433231344e9,761.0,2.2361700045766762e8,761.0,4.446956481136774e8
771.0,8.158160953867102e7,771.0,1.76306054818439e9,771.0,2.244671987903328e8,771.0,4.462122181124855e8
781.0,8.3406142753952e7,781.0,1.76277502021909e9,781.0,2.239284664753927e8,781.0,4.452512361452951e8
791.0,8.058580421332726e7,791.0,1.762267087090811e9,791.0,2.2297010153994843e8,791.0,4.435417203145026e8
801.0,8.227207662854628e7,801.0,1.7631855571430252e9,801.0,2.2470306488352925e8,801.0,4.466329522246738e8
811.0,8.249354943752769e7,811.0,1.7626699461773932e9,811.0,2.2373021345431334e8,811.0,4.4489759562120754e8
821.0,8.168430573803025e7,821.0,1.7622889438072805e9,821.0,2.2301134065096912e8,821.0,4.43615281971999e8
831.0,8.388721527652554e7,831.0,1.762655481665245e9,831.0,2.237029219065106e8,831.0,4.448489134008027e8
841.0,8.40298384781498e7,841.0,1.763027489844129e9,841.0,2.2440482452811933e8,841.0,4.461009559150237e8
851.0,8.183192494365396e7,851.0,1.762992954953535e9,851.0,2.2433966432030463e8,851.0,4.459847241929758e8
861.0,8.112857142874667e7,861.0,1.7633257288096724e9,861.0,2.2496753987596118e8,861.0,4.471047184273902e8
871.0,8.396243159701104e7,871.0,1.763430929884505e9,871.0,2.2516603258233845e8,871.0,4.4745878649822533e8
881.0,8.205138542892069e7,881.0,1.7639925413462405e9,881.0,2.2622567744955665e8,881.0,4.4934896382893884e8
891.0,8.382636253081888e7,891.0,1.7633631799368105e9,891.0,2.2503820241999266e8,891.0,4.472307651275545e8
901.0,8.135982766555145e7,901.0,1.762726830772761e9,901.0,2.238375429402876e8,901.0,4.450890482178103e8
911.0,8.180813865388304e7,911.0,1.7631562659082413e9,911.0,2.2464779837152264e8,911.0,4.465343687167701e8
921.0,8.245555335288617e7,921.0,1.7628051583853395e9,921.0,2.239853309722017e8,921.0,4.45352670112576e8
931.0,8.320471759653501e7,931.0,1.7629203702131898e9,931.0,2.2420271190251088e8,931.0,4.4574043069096535e8
941.0,7.898733685002671e7,941.0,1.7621613701224225e9,941.0,2.227706354489523e8,941.0,4.4318591593596894e8
951.0,7.81279954496317e7,951.0,1.7626095242528868e9,951.0,2.2361620975863957e8,951.0,4.446942376775733e8
961.0,8.041389113096966e7,961.0,1.7623589123258636e9,961.0,2.2314335679849294e8,961.0,4.4385077023514956e8
971.0,8.154062090450586e7,971.0,1.7629927062699678e9,971.0,2.2433919510576123e8,971.0,4.4598388721568215e8
981.0,8.219624397068311e7,981.0,1.7637560818845594e9,981.0,2.2577952726932108e8,981.0,4.485531283723025e8
991.0,8.121298591560982e7,991.0,1.763064608727653e9,991.0,2.2447486019705206e8,991.0,4.462258844055523e8
