t_new x1_new x2_new F_new d t_grad x1_grad x2_grad F_grad 
22.0496136680 1.6653120349 -0.9125745422 4.9977485834 91.0642705910 24.0521214477 4.6535045004 -4.0080239152 4.8880184850 
22.3269297978 0.4694283155 -1.1812386931 4.9984282311 91.1781373035 24.3808911265 5.0258314889 -4.1364074653 4.8697781452 
22.6267839555 1.0421353424 -1.0719721934 4.9999652231 91.0217937967 24.6761120020 4.1748543017 -3.4586239037 4.9193773433 
22.8925001300 1.4011565835 -0.5314535815 4.9980976882 92.5795550851 24.9783366238 3.9918383939 -3.6157267237 4.9210343837 
23.1431489826 0.7760189999 -1.6431743169 4.9976807965 92.7327067257 25.2477396640 5.1755713360 -3.5915825166 4.8792415204 
23.4187935268 1.1526011338 -0.6441286261 4.9992503423 93.8193610506 25.4969295718 4.0056169660 -3.8163092465 4.9151733444 
23.7105807048 0.9601773540 -0.5834887042 4.9991246625 93.4535089430 25.7275079054 4.7866753948 -3.5125726856 4.8967403398 
23.9540430564 1.3234843538 -1.5975296550 4.9976915809 94.7015879665 26.0339870068 4.8029172427 -3.2167030451 4.9031202403 
24.2621393514 0.8790364786 -0.7238041516 4.9995454184 95.3499607057 26.3013869032 4.1964420114 -4.2941810259 4.8946556492 
24.5671855340 0.5532543204 -0.7090201652 4.9985787452 94.8980834849 26.5442583700 4.5794860350 -3.1862636900 4.9120376540 
24.8435458081 1.6525665937 -1.1895280687 4.9976911798 94.9698958336 26.7472623588 4.4614998524 -4.2352711428 4.8877551970 
25.1124102563 0.8318832473 -0.9388258605 4.9998399724 96.4847936545 26.9808494979 4.4023208003 -3.3065035194 4.9155212734 
25.4069634432 0.4715720285 -1.1710051818 4.9984576055 95.9596683314 27.1894766363 4.6040326230 -4.0252676290 4.8892935231 
25.6807176148 1.5831995979 -0.6692759400 4.9977524991 95.8477295563 27.4202787710 4.3771630702 -3.5021169136 4.9116709027 
