arxiv_id,success,runtime_s,mem_before_rss,mem_after_rss,mem_max_rss,mem_avg_rss,size_before_bytes,size_after_bytes,disk_max_bytes,final_output_size_bytes,references_count
2307.15905,True,11.83,40714240,40816640,40742912,40728576,3640369,45179,4644363401,4641034650,2
2307.15906,True,9.95,40808448,40906752,40906752,40857600,1062551,175676,4641817404,4641211947,1
2307.15907,True,9.95,40902656,41213952,41189376,41046016,355957,186240,4641398284,4641407485,19
2307.15908,True,54.82,41205760,41246720,41246720,41220096,42858061,165972,4676002398,4641576525,4
2307.15909,True,9.74,41238528,41267200,41267200,41252864,96899,98224,4641674848,4641685908,36
2307.15910,True,10.92,41259008,41873408,41267200,41263104,2954007,379996,4644130672,4642071048,10
2307.15911,True,10.78,41865216,39346176,41865216,40566784,552662,53851,4642578729,4642133793,19
2307.15912,True,10.97,39374848,40423424,40423424,39899136,1093880,660472,4643227770,4642796554,1
2307.15913,True,9.69,40419328,40681472,40681472,40550400,292528,142330,4642938982,4642942436,6
2307.15914,True,13.35,40681472,40804352,40804352,40742912,73947,75030,4642979345,4643018410,0
2307.15915,True,11.96,40796160,40804352,40804352,40800256,4183756,176291,4645617662,4643200228,6
2307.15916,True,11.0,40816640,40845312,40845312,40830976,978058,391796,4643840384,4643597077,9
2307.15917,True,11.61,40837120,40845312,40841216,40839168,1243937,54574,4644683694,4643671002,43
2307.15918,True,22.47,40841216,40849408,40849408,40846677,9229859,126617,4646868041,4643806723,19
2307.15919,True,9.79,40841216,40943616,40943616,40892416,94604,96531,4643903353,4643910167,19
2307.15920,True,9.57,40935424,39014400,40939520,40937472,808691,114993,4644025255,4644033473,17
2307.15921,True,9.78,39047168,40091648,40091648,39569408,77965,79448,4644113018,4644113889,0
2307.15922,True,12.06,40083456,41271296,40222720,40153088,5107132,1297566,4647667320,4645415872,6
2307.15923,True,10.37,41263104,41295872,41283584,41273344,850834,181104,4646085832,4645613855,39
2307.15924,True,24.66,41287680,41332736,41304064,41298944,29432717,8093571,4654894066,4653709142,0
2307.15925,True,12.41,41324544,41340928,41340928,41332736,6494201,64559,4659413741,4653775582,1
2307.15926,True,11.42,41332736,41357312,41340928,41336832,3568788,424719,4656178685,4654205555,8
2307.15927,True,17.48,41349120,41398272,41398272,41379157,18859567,63288,4658391765,4654279064,23
2307.15928,True,25.81,41390080,40435712,41390080,40322048,5270476,140345,4655904378,4654421968,0
2307.15929,True,10.56,40427520,40501248,40488960,40458240,773363,649008,4655071074,4655076035,9
