Name;Cluster_ID;RA;DEC;Z;Z_ERR;BCG_NAME;BCG_RA;BCG_DEC;BCG_Z_Spec;BCG_W1;BCG_W2;Island;Radio_RA;Radio_DEC;Flux_DS9(Jy);DS9_axis;L_X;L_X_10_43;L_X_Err_10_43;L_X_Err_H;M_X;M_X_10_14_sol_Mass;R_500;Central_Density;Centrsl_Density_Err_H;Clear_Case;Remarks;Upper Limit;Point Source;SUMSS(mJy);SUMSS_Err(mJy)
em01_311150_020_ML00044_002_c947;J204408.5-603931;311.03550755719306;-60.65864750329302;0.14425094425678253;0.005203168839216232;"2MASX J20441046-6039212 
";311.0432;-60.6560;0.12135;12.483;12.346;SB9287_island_19440;311.0422898;-60.6559747;0.00201775;19.51;3.564108211874221E43;3.564;0.683;4.2471047258349885E43;2.2934116418258556E14;2.293;888;0.00327735683174734;0.04386731102033532;1;Radiosource very weak, calibration issue because of bright source?;0;0;0;0
em01_312141_020_ML00005_002_c947;J204008.3-503254;310.03499435783505;-50.54859115580507;0.16535131633281708;0.004364586900919676;2MASX J20401004-5032544;310.0406;-50.5479;0.14647;12.748;12.682;SB9287_island_1375;310.0402763;-50.5481901;0.0540599;46.517;3.3433675038793675E43;3.343;1.911;5.25453024717095E43;2.1763817462637466E14;2.176;866;0.07436556321750942;0.6038277292066396;1;Micky Maus Shape;0;0;0;0
em01_313144_020_ML00003_002_c947;J205555.5-545538;313.9813015948187;-54.9274890016539;0.15283998847007751;0.0046582305803895;2MASX J20555594-5455493;313.9830;-54.9302;0.1747;12.642;12.489;SB9287_island_789;313.9838572;-54.9278890;0.0218654;76.353;1.1701315993889326E44;11.701;1.194;1.2895401658590536E44;5.183805317238181E14;5.184;1162;0.12019785676818986;1.0649369914724651;0;Jellyfish in background?/Infaller?;0;0;0;0
em01_313144_020_ML00031_002_c947;J205156.7-523752;312.9866513376026;-52.63112096512797;0.04477442267733836;6.089517950003985E-4;ESO 187-26;312.9873309;"-52.6297176
";0.04718;11.427;11.472;SB9287_island_9086;312.9873309;-52.6297176;0.00495153;18.64;7.265877260840324E42;0.727;0.311;1.0379163862650704E43;7.972699867689072E13;0.797;645;0.017524736561212464;0.13393513022810608;1;Elongated radio source (corresponding galaxies of cluster in the south);0;0;0;0
em01_313153_020_ML00009_002_c947;J204822.8-613113;312.0952355973163;-61.52045802010231;0.10764800012111664;1.50104E-4;2MASX J20482154-6131025;312.0899;-61.5161;0.10765;12.015;12.050;SB9287_island_91563;0;0;0.00075;64.42;4.514448377623575E43;4.514;0.479;4.99338876217859E43;2.7384897145312472E14;2.738;954;0.006372217417116078;0.04667204993189965;1;No corresponding radio source to BCG;1;0;0;0
em01_313153_020_ML00047_002_c947;J205316.0-620912;313.31674541502866;-62.153508016765905;0.39387911558151245;0.00881881732493639;J205315.09-620906.2;313.3129;-62.1516;0;14.708;14.611;SB9287_island_94537;313.3129;-62.1516;0.000313205;20.54;6.887316408806609E43;6.887;2.419;9.3063476807535E43;3.221042474766814E14;3.221;908;0.011316300278223859;0.15553264644135045;1;Very weak source;0;0;0;0
em01_315147_020_ML00010_002_c947;J210114.4-554134;315.3101898975339;-55.69282186224338;0.2541370093822479;0.004396385513246059;LEDA 406911;315.3038;-55.6941;0;13.810;13.523;SB9287_island_8285;0;0;0.00075;18.82;1.2324678468125197E44;12.325;1.715;1.4039279460157373E44;5.1616467009817444E14;5.162;1119;0.002044320916829715;0.017889968815974117;1;No corresponding radio source to BCG;1;0;0;0
em01_317150_020_ML00011_002_c947;J211652.8-593039;319.220162993477;-59.51104310722569;0.05747832347357565;7.421933244917725E-4;FRL 95;319.2221;"-59.5089
";0.060189;11.397;11.416;SB9287_island_1785;319.2232753;-59.5092671;0.0607423;29.0;1.9665020930056272E43;1.967;0.239;2.2056459180305972E43;1.5712950634555453E14;1.571;806;0.017544154302453065;0.08343516612774567;1;0;0;0;0;0
em01_317150_020_ML00046_002_c947;J210604.1-584425;316.517423763414;-58.740427963455986;1.1291875552179436;0.0027263959613995927;[FAB2011] 316.50647-58.73848;316.5069317;"-58.7382984
";1.1296;16.617;16.249;SB9287_island_6696;316.5187017;-58.7411148;0.00846537;46.623;1.4054496660028722E45;140.545;33.449;1.7399417786457865E45;1.7429922565408498E15;17.430;1194;0.013822028444757715;0.13432340860771308;1;0;0;0;12.3;1.4
em01_318144_020_ML00014_002_c947;J211250.9-531754;318.2121225223243;-53.29835598606527;0.23638315498828888;0.004180066287517548;LEDA 431554;318.2121;"-53.2983
";0;14.130;13.890;SB9287_island_5820;318.2108701;-53.2991109;0.0086227;18.18;7.45607200783994E43;7.456;1.626;9.081623331917432E43;3.673599210826915E14;3.674;1006;0.06224110851291463;0.6895615255573848;1;0;0;0;0;0
em01_318144_020_ML00023_002_c947;J212023.5-542845;320.0982156677264;-54.479426097587414;0.23689885437488556;0.004075150936841965;J212025.34-542840.9;320.1054;-54.4781;0;13.973;13.753;SB9287_island_10254;320.1229080;-54.4738145;0.00583143;39.283;5.838936306993644E43;5.839;1.703;7.542234758079964E43;3.0986062980252825E14;3.099;950;0.015586228797572151;0.1865883057299856;1;0;0;0;0;0
em01_318144_020_ML00030_002_c947;J210732.3-552841;316.8846928379503;-55.47805784224668;0.35367655754089355;0.011393697001039982;J210732.69-552821.0;316.8864;-55.4729;0;14.087;13.985;SB9287_island_19087;316.8860718;-55.4729055;0.00202712;26.066;7.588958726988431E43;7.589;2.240;9.828750305807007E43;3.5138157409543094E14;3.514;949;0.016179596534735587;0.12681290463892791;1;0;0;0;0;0
em01_318144_020_ML00057_002_c947;J211144.8-533856;317.93700178034385;-53.649008099537824;0.44201338291168213;0.008991345763206482;J211144.61-533852.8;317.9358;-53.6478;0;14.123;13.970;SB9287_island_11307;317.9363680;-53.6444031;0.00361205;19.95;1.5016004853650657E44;15.016;3.999;1.901484810782652E44;5.3956708107922306E14;5.396;1058;0.010724079025069206;0.14096699328974152;1;A little separation between bcg and radio source;0;0;0;0
