lambda,nu,emp_mean
133,1.1900000000000004,61.153333333333336
191,0.8600000000000001,98.58666666666667
196,1.1700000000000004,88.15333333333334
36,0.9400000000000002,44.86
170,0.9600000000000002,97.98666666666666
12,0.8700000000000001,17.18
171,1.0700000000000003,96.42666666666666
128,0.8700000000000001,98.3
112,1.1300000000000003,64.77333333333333
164,0.9900000000000002,97.52666666666667
119,1.0500000000000003,90.78
105,1.0800000000000003,74.58
11,1.1400000000000003,8.26
119,0.9800000000000002,96.59333333333333
161,0.9800000000000002,97.82666666666667
77,1.0700000000000003,57.66
143,1.1400000000000003,77.50666666666666
87,1.0900000000000003,61.04
63,0.8700000000000001,94.47333333333333
80,1.0200000000000002,73.26666666666667
67,0.9800000000000002,72.06666666666666
180,0.9200000000000002,98.47333333333333
198,1.1400000000000003,93.75333333333333
153,0.8200000000000001,98.58
100,0.8400000000000001,98.15333333333334
103,0.9100000000000001,97.40666666666667
145,0.9500000000000002,97.84666666666666
66,1.0700000000000003,50.34
147,0.9200000000000002,98.10666666666667
142,0.9500000000000002,97.85333333333334
40,1.1700000000000004,23.753333333333334
68,0.9800000000000002,74.22
177,0.9100000000000001,98.37333333333333
26,0.9600000000000002,29.913333333333334
64,1.0500000000000003,52.12
40,0.9100000000000001,59.03333333333333
159,1.1000000000000003,91.98
180,0.9800000000000002,97.88
90,1.1000000000000003,59.75333333333333
162,0.81,98.66666666666667
98,0.9900000000000002,92.34666666666666
170,0.8800000000000001,98.52
47,0.9300000000000002,62.20666666666666
74,1.0200000000000002,67.84
141,0.9400000000000002,97.97333333333333
80,0.9900000000000002,82.35333333333334
38,0.8900000000000001,60.18
27,0.8500000000000001,48.74
138,1.0900000000000003,88.13333333333334
129,0.8700000000000001,98.36666666666666
140,1.1600000000000004,70.54666666666667
194,0.8200000000000001,98.78
87,1.1400000000000003,49.22666666666667
179,0.8,98.78
80,0.9000000000000001,95.70666666666666
99,0.8400000000000001,98.22
52,1.1300000000000003,33.27333333333333
101,1.1800000000000004,50.36666666666667
151,1.0600000000000003,94.81333333333333
179,1.1500000000000004,89.05333333333333
16,0.8400000000000001,26.98
189,0.8200000000000001,98.76666666666667
144,1.0500000000000003,95.29333333333334
125,1.0000000000000002,96.02666666666667
111,1.1400000000000003,62.46666666666667
71,1.0200000000000002,65.32666666666667
80,1.0400000000000003,66.98666666666666
156,1.0400000000000003,96.48
158,1.1800000000000004,72.46666666666667
100,1.1700000000000004,50.35333333333333
33,0.9400000000000002,41.22
77,1.0600000000000003,60.03333333333333
177,0.8600000000000001,98.50666666666666
92,0.8600000000000001,97.93333333333334
94,1.0800000000000003,67.52
184,0.8300000000000001,98.68
124,0.8900000000000001,98.11333333333333
125,0.9900000000000002,96.49333333333334
187,1.0800000000000003,96.89333333333333
99,1.1400000000000003,56.973333333333336
153,0.8600000000000001,98.35333333333334
199,0.9800000000000002,98.15333333333334
153,0.9500000000000002,98.02
70,0.9200000000000002,91.96666666666667
33,1.1600000000000004,20.173333333333332
168,0.8700000000000001,98.52
26,0.81,54.833333333333336
47,0.8300000000000001,92.19333333333333
69,1.0600000000000003,53.95333333333333
106,1.0200000000000002,90.18
33,0.9700000000000002,36.68666666666667
33,1.1100000000000003,23.58
47,0.8,95.46666666666667
96,1.1400000000000003,54.906666666666666
21,1.1800000000000004,13.086666666666666
109,1.1000000000000003,70.92666666666666
138,1.1300000000000003,78.29333333333334
32,1.1400000000000003,20.8
197,0.9200000000000002,98.54
129,0.9100000000000001,98.04
61,0.8600000000000001,94.78
199,0.8800000000000001,98.52
121,1.0000000000000002,95.69333333333333
92,1.1000000000000003,60.57333333333333
71,1.0900000000000003,49.266666666666666
33,0.8600000000000001,58.79333333333334
63,1.0600000000000003,50.06
14,1.0900000000000003,10.813333333333333
158,1.1100000000000003,90.63333333333334
191,0.9900000000000002,98.11333333333333
157,0.9400000000000002,98.23333333333333
167,0.8600000000000001,98.55333333333333
119,1.1800000000000004,58.14666666666667
176,0.9800000000000002,98.14
187,1.0400000000000003,97.38
17,0.9400000000000002,19.866666666666667
164,0.8700000000000001,98.74666666666667
42,1.0500000000000003,34.96666666666667
141,1.1500000000000004,74.15333333333334
25,1.0100000000000002,24.013333333333332
186,1.0600000000000003,96.79333333333334
105,0.8400000000000001,98.16666666666667
156,1.0700000000000003,94.35333333333334
169,0.9000000000000001,98.52666666666667
167,1.0000000000000002,97.52666666666667
58,0.9100000000000001,85.01333333333334
67,1.0200000000000002,61.16
177,1.0600000000000003,96.54666666666667
15,0.8600000000000001,23.9
168,1.1200000000000003,90.44666666666667
191,0.8,98.8
44,0.8300000000000001,88.50666666666666
110,1.1800000000000004,53.18
44,1.1600000000000004,25.773333333333333
37,0.8400000000000001,74.21333333333334
77,1.1300000000000003,47.00666666666667
43,0.9400000000000002,54.586666666666666
54,0.8600000000000001,92.77333333333333
41,1.0300000000000002,35.86
118,1.1600000000000004,60.78
62,0.8500000000000001,95.38
67,1.1900000000000004,34.00666666666667
136,0.8900000000000001,98.18666666666667
159,0.8800000000000001,98.42
173,1.0900000000000003,95.39333333333333
78,1.1500000000000004,44.8
190,0.8700000000000001,98.62
179,1.0100000000000002,97.91333333333333
146,1.1900000000000004,65.3
182,1.0500000000000003,97.00666666666666
68,0.8400000000000001,97.21333333333334
140,0.9300000000000002,98.17333333333333
100,0.9300000000000002,97.0
121,0.9500000000000002,97.18
113,1.1100000000000003,71.18666666666667
11,0.8600000000000001,15.8
24,1.0200000000000002,23.133333333333333
30,0.8,70.33333333333333
33,0.8500000000000001,61.07333333333333
100,1.0500000000000003,80.85333333333334
187,0.9100000000000001,98.53333333333333
97,1.1200000000000003,59.32666666666667
93,1.0500000000000003,75.83333333333333
60,1.0500000000000003,48.21333333333333
24,1.1200000000000003,17.086666666666666
124,0.8,98.54
75,1.0000000000000002,74.92
90,1.1400000000000003,50.833333333333336
37,1.0000000000000002,36.406666666666666
19,1.0900000000000003,14.626666666666667
189,1.0200000000000002,97.64
135,1.0100000000000002,96.04
46,1.0400000000000003,39.766666666666666
24,0.9400000000000002,28.98
98,1.0500000000000003,77.21333333333334
70,0.9700000000000002,79.15333333333334
93,0.9800000000000002,92.11333333333333
64,0.9000000000000001,92.23333333333333
44,0.81,92.46666666666667
29,1.0200000000000002,26.973333333333333
115,0.9700000000000002,96.5
85,1.0100000000000002,81.7
109,0.9900000000000002,94.65333333333334
188,0.9600000000000002,98.31333333333333
129,0.8,98.48
34,1.0600000000000003,27.80666666666667
96,1.0700000000000003,70.76
88,1.1100000000000003,56.58
147,1.0300000000000002,96.36
196,0.81,98.76
95,1.0100000000000002,88.13333333333334
101,1.0100000000000002,90.32
101,1.0500000000000003,80.72
160,1.0000000000000002,97.74666666666667
184,0.8500000000000001,98.63333333333334
60,1.0700000000000003,44.193333333333335
52,1.1600000000000004,30.32
111,0.9400000000000002,96.9
11,1.1100000000000003,8.633333333333333
167,1.1700000000000004,79.96
145,0.8400000000000001,98.48666666666666
104,0.9700000000000002,95.46
197,0.81,98.73333333333333
173,1.1600000000000004,83.8
54,1.1400000000000003,33.60666666666667
48,1.1100000000000003,31.793333333333333
162,1.0700000000000003,95.64666666666666
66,1.1100000000000003,43.35333333333333
64,1.0700000000000003,49.5
52,1.0600000000000003,41.29333333333334
170,1.0400000000000003,96.84666666666666
106,0.9500000000000002,96.92
35,0.9500000000000002,42.086666666666666
82,0.8800000000000001,97.20666666666666
58,1.1200000000000003,38.21333333333333
157,1.0700000000000003,95.50666666666666
103,1.1100000000000003,64.01333333333334
135,1.1100000000000003,82.09333333333333
196,1.0500000000000003,97.47333333333333
76,1.0300000000000002,67.47333333333333
190,0.8400000000000001,98.74666666666667
18,0.9600000000000002,20.19333333333333
