Poles_Re, Poles_Im, Residues_Re, Residues_Im
-409.39,6557.2,320.96,20.038
-547.56,12914,728.42,30.885
-454.53,6637.3,334.86,22.931
-496.3,10089,330.14,16.241
-438.41,16590,960.33,25.378
-569.42,12545,986.56,44.781
-500.68,13031,1046,40.19
-505.43,12335,1348.5,55.253
-457.62,14478,612.4,19.357
-502.4,20654,3320.2,80.764
-400.39,13050,1609,49.368
-455.46,26639,361.88,6.1873
-469.75,7825.8,308.72,18.531
-456.79,17115,1976.2,52.745
-417.19,10419,925.52,37.058
-504.36,21214,1011.1,24.04
-557.7,5578,271.31,27.126
-588.52,9306.4,344.47,21.784
-499.46,6934.4,433.88,31.251
-518.75,31066,736.83,12.304
-458.17,15031,296.52,9.0384
-429.83,7397.1,539.33,31.339
-426.37,6532.9,269.6,17.596
-546.47,8794.4,346.86,21.553
-546.89,15330,495.9,17.692
-435.87,14842,1471.5,43.213
-482.71,17329,255.82,7.1262
-518.83,18912,1238.6,33.979
-425.06,16982,1031,25.807
-557.07,9296.8,543.92,32.593
-524,9269.5,576.05,32.564
-523.04,12423,1319.9,55.572
-540.24,5987.4,336.54,30.366
-597.44,12672,1090.2,51.401
-512.48,7923.6,377.81,24.436
-572.88,8702.3,326.12,21.469
-483.74,10147,999.22,47.636
-530.89,14309,402.64,14.938
-585.05,6010.2,328.31,31.958
-532.83,10487,380.92,19.354
-460.62,8408.9,405.01,22.185
-523.99,10394,755.95,38.11
-470.26,11043,335.56,14.289
-464.47,11214,263.7,10.923
-522.04,10147,550.32,28.312
-432.06,6253.4,315.23,21.78
-497.35,18482,2419.3,65.106
-589.13,13471,296.38,12.962
-476.78,10882,1074.6,47.083
-437.79,10771,587.76,23.889
-493.77,8851.4,746.1,41.62
-568.18,18548,1982.6,60.733
-568.53,14499,274.91,10.779
-565.56,16016,622.44,21.979
-402.3,7225.1,451.13,25.119
-453.41,8160,481.31,26.744
-599.98,12563,1424.1,68.008
-423.94,16729,1015.7,25.739
-498.02,19238,2042.8,52.883
-558.01,8365.4,469.46,31.315
-424.44,11667,837.6,30.473
-532.48,15418,642.33,22.184
-497.62,18955,1637.6,42.992
-438.86,10461,313.21,13.14
-575.73,13905,1652.8,68.433
-436.3,5047.6,253.44,21.906
-527.81,31796,1145.2,19.01
-548.17,7583.8,421.03,30.432
-512.53,27243,2699.7,50.79
-525.77,6955,313.38,23.69
-423.79,19178,1086.4,24.006
-461.61,8221.9,453.3,25.45
-517.39,9066,331.97,18.946
-479.09,19833,1299.1,31.382
-532.79,6877.1,435.89,33.77
-570.39,10152,977.38,54.915
-438.04,7143.4,324.15,19.878
-580.65,11549,339.32,17.06
-476.64,11028,1148.3,49.629
-588.62,6112.9,287.73,27.706
-523.48,21811,3634.4,87.228
-558.02,10699,288.28,15.035
-502.96,7145.5,430.32,30.289
-506.23,14399,577.29,20.296
-465.52,7048.3,324.33,21.421
-425.87,6853.6,341.96,21.249
-476.76,5768.6,253.05,20.914
-443,13745,795.72,25.646
-406.57,24578,4663.8,77.149
-454.98,5401.6,266.75,22.468
-436.12,6880.5,289.02,18.319
-575.11,15731,336.74,12.311
-416.25,16363,462.23,11.758
-436.78,15191,346.45,9.9611
-540.81,12134,315.85,14.077
-583.85,19014,615.56,18.902
-450.29,6348.7,319.77,22.68
-404.26,19352,327.61,6.8438
-592.1,11877,395.23,19.703
-536.44,8070.2,579.01,38.488
-462.13,5981.9,350.91,27.109
-494.47,27475,4720.8,84.96
-519.85,5680.2,318,29.104
-474.77,17423,277.29,7.5561
-574.9,9717.9,901.39,53.325
-545.23,20944,1517.6,39.508
-590.87,10901,964.25,52.264
-470.21,9499.4,741.86,36.721
-587.43,5665.2,281.25,29.164
-495.82,9524,441.69,22.994
-528.46,9096.1,775.49,45.054
-547.33,21605,1377.9,34.906
-561.87,9030.8,767.73,47.765
-479.25,7851.2,394.83,24.102
-489.59,8401.5,698.46,40.702
-563.46,25232,516,11.523
-543.51,8449.8,529.76,34.075
-588.17,7108.4,298.78,24.722
-595.92,10283,549.41,31.838
-435.78,14927,660.65,19.287
-445.58,10007,361.68,16.105
-543.2,18282,960.03,28.525
-549.48,13988,506.19,19.884
-520.64,9391.1,716.28,39.71
-575.46,8551,387.29,26.063
-450.4,14802,282.97,8.6102
-467.9,8155.9,525.98,30.175
-498.93,7496.3,314.37,20.924
-463.01,8271.5,516.4,28.906
-509.09,8278.7,371.24,22.829
-536.5,18207,1426.5,42.034
-444.07,7396.7,541.91,32.534
-497.07,18863,273.57,7.2089
-598.6,6508.2,399.87,36.778
-464.83,5844.4,321.16,25.543
-407.07,10578,472.17,18.171
-563.47,13712,477.87,19.638
-500.66,6766.8,293.86,21.742
-410.56,31579,2185,28.407
-578.06,7167.8,420.44,33.907
-480.9,9515.5,264.38,13.361
-585.85,11876,461.28,22.756
-480.42,10748,1065,47.604
-415.37,5658.4,292.21,21.45
-449.06,12435,864.88,31.234
-470.05,6320.1,349.31,25.98
-550.15,10724,443.85,22.769
-436.95,5112.7,262.77,22.458
-486.19,9159.9,388.73,20.633
-574.65,9444,295.48,17.979
-506.75,69677,4345.1,31.601
-420.63,5032.7,252.56,21.109
-404.9,20260,2018.9,40.348
-541.16,9674.8,702.2,39.278
-595.83,6296.1,263.48,24.934
-557.03,24076,4274.1,98.886
-552.95,17456,300.63,9.5226
-535.09,5556.8,287.97,27.73
-559.1,7557.5,534.37,39.533
-408,12182,853.36,28.581
-452.94,5626.2,307.67,24.769
-539.08,12500,496.06,21.394
-573.4,15031,1407.5,53.691
-534.92,7913.5,268.4,18.143
-435.26,6535.5,277.42,18.476
-587.26,11990,483.59,23.687
-580.68,5882,289.4,28.57
-417.34,21910,558.47,10.638
-438.6,19950,357.5,7.8598
-455.04,24542,583.99,10.828
-547.68,15620,471.29,16.525
-571.87,15969,1086.6,38.914
-515.66,5170.9,258.6,25.789
-439.93,22102,758.71,15.102
-483.02,15913,1685.9,51.174
-427.57,15563,1336.2,36.709
-583.48,31977,3944,71.965
-552.91,11974,342.4,15.81
-502.04,12807,426.42,16.715
-490.72,18405,310.62,8.2816
-419.57,8028.2,470.17,24.572
-463.74,6798.3,311.63,21.257
-424.13,8624.6,351.63,17.292
-556.47,6551.4,316.87,26.915
-508.98,19256,573.19,15.151
-445.46,6300.5,375.72,26.564
-444.84,11497,1132.2,43.807
-452.08,10186,702.78,31.193
-461.77,16877,1168.4,31.968
-477.54,11303,570.51,24.103
-459.51,13264,894.94,31.003
-535.91,7792.8,572.64,39.38
-407.01,5408.2,256.03,19.268
-465.62,11823,705.61,27.789
-549.06,6616.3,254.23,21.097
-588.56,6555.9,381.98,34.292
-560.55,8020.4,615.25,43
-448.17,6617.7,289.15,19.582
-446.58,7158,391.48,24.424
-438.07,14991,863.76,25.241
-576.5,5781.1,311.25,31.038
-447.57,7996.4,541.96,30.334
-551.64,10554,641.63,33.536
-452.21,8854.8,687.26,35.098
-406.62,6384.3,350.88,22.347
-546.69,9991.8,819.09,44.816
-545.24,13237,305.67,12.591
-417.79,11623,756.37,27.189
-465.34,6962.1,440.98,29.475
-589.67,7866.6,486.83,36.492
-432.59,8016.5,289.83,15.64
-417.33,5328.4,279.65,21.903
-518.92,19620,1110.3,29.366
-586.2,10586,412.49,22.84
-426.76,5362.2,276.76,22.027
-502.6,8014.3,527.64,33.09
-536.8,5435.1,270.04,26.671
-434.37,36062,793.55,9.5582
-402.25,9833.1,397.84,16.275
-577.54,11421,358,18.103
-407.05,16817,937.05,22.681
-451.49,22967,3963.3,77.913
-530.34,8700.8,560.68,34.175
-457.16,7356.7,265.52,16.5
-401.94,12937,665.11,20.664
-515.09,7207.8,316.15,22.593
-461.56,14407,1157.4,37.079
-430.3,10779,666.92,26.623
-594.26,14487,1334.3,54.733
