x,,y_real_alpha0.05,y_imag_alpha0.05,y_real_alpha0.1,y_imag_alpha0.1,y_real_alpha0.15,y_imag_alpha0.15,y_real_alpha0.2,y_imag_alpha0.2,y_real_alpha0.25,y_imag_alpha0.25
0.945,0,0.19246,-2.5104,0.37493,-2.4604,0.53947,-2.3835,0.68147,-2.2871,0.79956,-2.179
0.95,0,0.18908,-2.4917,0.36855,-2.4431,0.53079,-2.3682,0.67125,-2.2742,0.7885,-2.1684
0.955,0,0.18579,-2.4733,0.36235,-2.4261,0.52233,-2.3531,0.66126,-2.2614,0.77767,-2.1578
0.96,0,0.18259,-2.4552,0.35632,-2.4093,0.51407,-2.3382,0.65149,-2.2486,0.76705,-2.1473
0.965,0,0.17948,-2.4374,0.35045,-2.3927,0.50603,-2.3235,0.64195,-2.236,0.75664,-2.1369
0.97,0,0.17646,-2.4199,0.34474,-2.3764,0.49818,-2.309,0.63262,-2.2236,0.74645,-2.1265
0.975,0,0.17353,-2.4026,0.33918,-2.3604,0.49053,-2.2946,0.6235,-2.2112,0.73645,-2.1162
0.98,0,0.17067,-2.3857,0.33376,-2.3445,0.48306,-2.2804,0.61458,-2.199,0.72665,-2.1059
0.985,0,0.16789,-2.369,0.32848,-2.3289,0.47577,-2.2664,0.60585,-2.1868,0.71705,-2.0957
0.99,0,0.16518,-2.3526,0.32334,-2.3136,0.46866,-2.2526,0.59732,-2.1748,0.70763,-2.0856
0.995,0,0.16255,-2.3365,0.31833,-2.2984,0.46171,-2.239,0.58897,-2.1629,0.6984,-2.0755
1,0,0.15998,-2.3206,0.31344,-2.2835,0.45493,-2.2255,0.5808,-2.1511,0.68935,-2.0655
