x,y_ref_abs,AAA,Error_AAA,VF,Error_VF,Szego,Error_Szego,Adap,Error_Adap
20590,101.7,101.7,0.0065806,101.7,0.084043,101.59,0.11964,101.7,0.0062472
20620,102.94,102.94,0.0056484,102.92,0.056895,102.86,0.1055,102.93,0.0055372
20650,104.14,104.14,0.0042708,104.11,0.032284,104.1,0.080482,104.13,0.0042295
20680,105.29,105.29,0.0024792,105.27,0.022455,105.28,0.046411,105.29,0.0024305
20710,106.39,106.39,0.00033042,106.38,0.038805,106.39,0.006075,106.39,0.00031528
20740,107.43,107.43,0.0020633,107.43,0.062276,107.42,0.036994,107.43,0.0018911
20770,108.42,108.42,0.0045244,108.44,0.086299,108.37,0.078802,108.42,0.0039431
20800,109.37,109.37,0.0068242,109.42,0.10964,109.28,0.11525,109.37,0.0056085
20830,110.29,110.3,0.0087112,110.37,0.13168,110.16,0.14251,110.29,0.0067015
20860,111.2,111.21,0.0099434,111.31,0.15176,111.05,0.15743,111.21,0.0071085
20890,112.12,112.13,0.010315,112.26,0.16913,111.96,0.15787,112.12,0.0068026
20920,113.06,113.07,0.0096787,113.22,0.18303,112.93,0.14297,113.05,0.0058446
20950,114.02,114.03,0.0079615,114.2,0.19279,113.94,0.11332,114.02,0.0043709
20980,115.02,115.02,0.0051824,115.21,0.19787,114.98,0.070962,115.01,0.0025701
21010,116.05,116.05,0.0014669,116.25,0.19799,116.04,0.019302,116.05,0.00065371
21040,117.11,117.11,0.0029417,117.3,0.19314,117.11,0.037175,117.12,0.0011736
21070,118.21,118.2,0.0076845,118.37,0.18357,118.18,0.09327,118.21,0.0027398
21100,119.31,119.31,0.012305,119.45,0.16977,119.23,0.14353,119.32,0.0039213
21130,120.42,120.42,0.016286,120.53,0.15243,120.28,0.18278,120.42,0.0046498
21160,121.51,121.52,0.019105,121.6,0.13236,121.33,0.20657,121.52,0.0049093
21190,122.58,122.59,0.020293,122.63,0.11043,122.37,0.2117,122.58,0.0047263
21220,123.6,123.62,0.019497,123.63,0.087556,123.41,0.19656,123.6,0.0041566
21250,124.57,124.58,0.016533,124.57,0.064627,124.42,0.16134,124.57,0.0032693
21280,125.46,125.47,0.011433,125.46,0.042733,125.38,0.10817,125.46,0.0021318
21310,126.28,126.29,0.0044634,126.26,0.024551,126.26,0.04102,126.28,0.0008001
21340,127.02,127.01,0.0038665,127,0.021044,127.03,0.034583,127.02,0.00068022
21370,127.67,127.66,0.012834,127.65,0.035945,127.68,0.11195,127.67,0.0022603
21400,128.25,128.23,0.021556,128.24,0.056109,128.21,0.18377,128.25,0.0038665
21430,128.77,128.75,0.029074,128.76,0.077853,128.65,0.24277,128.77,0.005383
21460,129.23,129.22,0.03445,129.25,0.1004,129.03,0.28238,129.24,0.0066483
21490,129.67,129.66,0.036879,129.71,0.12314,129.41,0.29734,129.68,0.0074674
21520,130.11,130.11,0.035783,130.17,0.14517,129.83,0.28434,130.12,0.0076365
21550,130.56,130.56,0.030894,130.66,0.16534,130.31,0.2424,130.56,0.006971
21580,131.04,131.04,0.02231,131.17,0.18236,130.87,0.17314,131.04,0.0053356
21610,131.56,131.56,0.010517,131.72,0.19506,131.49,0.080875,131.56,0.0026714
21640,132.13,132.12,0.0036188,132.32,0.20256,132.14,0.027621,132.13,0.00097794
21670,132.74,132.72,0.018907,132.94,0.20441,132.79,0.14347,132.74,0.0054429
21700,133.39,133.35,0.033922,133.59,0.20063,133.42,0.25635,133.39,0.010411
21730,134.05,134.01,0.047139,134.24,0.19168,134,0.35524,134.06,0.015424
21760,134.72,134.67,0.057078,134.89,0.17836,134.54,0.42931,134.73,0.019892
21790,135.37,135.31,0.062454,135.51,0.16163,135.06,0.4689,135.39,0.023133
21820,135.99,135.94,0.062294,136.1,0.14254,135.6,0.46632,136.01,0.024437
21850,136.55,136.51,0.055989,136.63,0.1221,136.15,0.41675,136.57,0.023143
21880,137.05,137.03,0.043279,137.11,0.10139,136.73,0.3188,137.07,0.01872
21910,137.47,137.46,0.024174,137.52,0.081788,137.3,0.17497,137.48,0.010847
21940,137.82,137.82,0.0011524,137.85,0.065476,137.82,0.0081179,137.82,0.0005309
21970,138.07,138.07,0.03244,138.11,0.055926,138.22,0.21978,138.06,0.015163
22000,138.24,138.24,0.069316,138.28,0.056176,138.45,0.44554,138.23,0.032473
22030,138.33,138.3,0.11111,138.38,0.064716,138.46,0.66762,138.33,0.05155
22060,138.33,138.27,0.15647,138.39,0.076763,138.26,0.86553,138.36,0.071132
22090,138.27,138.15,0.20267,138.32,0.088089,137.9,1.0167,138.32,0.08955
22120,138.14,137.97,0.24463,138.18,0.095184,137.47,1.0968,138.23,0.10456
22150,137.97,137.74,0.27324,137.97,0.093993,137.09,1.0798,138.08,0.11291
22180,137.77,137.51,0.2724,137.73,0.079262,136.88,0.93651,137.88,0.1094
22210,137.56,137.35,0.21343,137.5,0.057704,136.93,0.63067,137.64,0.084362
22240,137.39,137.35,0.043933,137.42,0.13222,137.28,0.11044,137.4,0.017494
22270,137.4,137.66,0.33401,137.73,0.37474,137.91,0.7102,137.36,0.13915
22300,138.03,138.47,1.0959,138.87,0.87728,138.72,1.9777,138.21,0.50095
22330,140.49,139.83,2.4386,141.06,1.7366,139.55,3.8116,141.69,1.2173
22360,144.94,141.38,3.8342,143.18,2.4542,140.25,5.4226,145.65,1.6964
22390,145.54,142.36,3.7221,143.54,2.0949,140.66,5.0642,144.74,1.1808
22420,143.08,142.23,2.6798,142.43,1.35,140.66,3.7189,142.46,0.62133
22450,140.85,141.18,1.703,140.85,0.80648,140.21,2.5029,140.58,0.31338
22480,139.14,139.69,0.97495,139.28,0.46574,139.32,1.5405,139.05,0.15165
22510,137.74,138.11,0.45958,137.83,0.26307,138.08,0.78076,137.72,0.062817
22540,136.48,136.58,0.10116,136.5,0.17186,136.61,0.18337,136.48,0.012432
22570,135.29,135.15,0.14293,135.25,0.17218,135.05,0.27349,135.29,0.016015
22600,134.13,133.83,0.30173,134.07,0.20433,133.54,0.60245,134.11,0.031088
22630,132.98,132.6,0.39479,132.93,0.23235,132.17,0.81323,132.95,0.037614
22660,131.84,131.46,0.43576,131.82,0.24786,130.99,0.91607,131.81,0.038527
22690,130.71,130.38,0.43476,130.75,0.25016,129.99,0.92335,130.68,0.035746
22720,129.62,129.36,0.39993,129.7,0.24042,129.12,0.85006,129.59,0.030607
22750,128.56,128.39,0.33837,128.68,0.2203,128.32,0.71351,128.54,0.0241
22780,127.55,127.46,0.25671,127.69,0.19173,127.52,0.53267,127.54,0.016996
22810,126.6,126.57,0.16146,126.73,0.15683,126.67,0.32716,126.59,0.0099134
22840,125.71,125.71,0.059124,125.82,0.11791,125.77,0.11617,125.71,0.0033557
22870,124.88,124.88,0.043714,124.96,0.077607,124.82,0.082723,124.88,0.0022837
